id,name,address,description,bedrooms,bathrooms,max_guests,price_per_night,status,amenities,images,hostaway_id,owner_id,created_at,updated_at,organization_id,external_id,currency,google_maps_link,management_fee_pct,pm_user_id,pm_split_pct,referral_agent_id,retail_agent_id
3,Villa Aruna (Demo),"Bophut Hills, Koh Samui, Thailand",Stunning 3-bedroom villa with private pool and ocean views in exclusive Bophut Hills location. Perfect for families and groups seeking luxury accommodation in Koh Samui.,3,3,6,20000.00,active,"{""Private Pool"",""Ocean View"",""Air Conditioning"",WiFi,Kitchen,Parking,Garden}",,,demo-owner,2025-07-04 06:52:47.655594,2025-07-04 06:52:47.655594,default-org,,THB,,15.00,,50.00,,
4,Sunset Villa Bondi,"123 Ocean View Drive, Bondi Beach, NSW 2026",Stunning beachfront villa with panoramic ocean views. Perfect for families and groups.,4,3,8,450.00,active,,,,owner-1,2025-07-24 07:53:44.598176,2025-07-24 07:53:44.598176,default-org,1001,AUD,,15.00,,50.00,,
5,City Penthouse Melbourne,"456 Collins Street, Melbourne, VIC 3000",Luxury penthouse in the heart of Melbourne CBD with skyline views.,3,2,6,380.00,active,,,,owner-1,2025-07-24 07:53:44.598176,2025-07-24 07:53:44.598176,default-org,1002,AUD,,15.00,,50.00,,
6,Harbour View Apartment,"789 Circular Quay, Sydney, NSW 2000",Modern apartment overlooking Sydney Harbour Bridge and Opera House.,2,2,4,320.00,active,,,,owner-2,2025-07-24 07:53:44.598176,2025-07-24 07:53:44.598176,default-org,1003,AUD,,15.00,,50.00,,
7,Byron Bay Beach House,"321 Beachfront Road, Byron Bay, NSW 2481",Spacious beach house steps from the sand. Ideal for large groups and events.,5,4,10,520.00,active,,,,owner-2,2025-07-24 07:53:44.598176,2025-07-24 07:53:44.598176,default-org,1004,AUD,,15.00,,50.00,,
8,Gold Coast High-Rise,"654 Surfers Paradise Blvd, Gold Coast, QLD 4217",Modern high-rise apartment with beach access and resort facilities.,3,2,6,290.00,active,,,,owner-3,2025-07-24 07:53:44.598176,2025-07-24 07:53:44.598176,default-org,1005,AUD,,15.00,,50.00,,
10,Villa Tropical Paradise,"456 Hillside Drive, Koh Samui, Thailand",Stunning hillside villa with panoramic ocean views and infinity pool. Ideal for families and groups.,4,4,8,12000.00,active,"{""Infinity Pool"",""Ocean View"",WiFi,""Air Conditioning"",Kitchen,Parking,Garden}",,,owner-1,2025-07-24 15:47:58.217125,2025-07-24 15:47:58.217125,default-org,1002,THB,,15.00,,50.00,,
11,Villa Balinese Charm,"789 Coconut Grove, Koh Samui, Thailand",Authentic Thai-style villa surrounded by tropical gardens. Perfect for romantic getaways.,2,2,4,6500.00,active,"{""Traditional Design"",""Garden Pool"",WiFi,""Air Conditioning"",""Outdoor Kitchen""}",,,owner-2,2025-07-24 15:47:58.287428,2025-07-24 15:47:58.287428,default-org,1003,THB,,15.00,,50.00,,
12,Villa Gala Beachfront,"321 Beachfront Road, Koh Samui, Thailand",Spectacular beachfront villa with direct beach access. Perfect for large groups and events.,5,5,10,18000.00,active,"{Beachfront,""Large Pool"",WiFi,""Air Conditioning"",""Full Kitchen"",""BBQ Area"",Parking}",,,owner-2,2025-07-24 15:47:58.356972,2025-07-24 15:47:58.356972,default-org,1004,THB,,15.00,,50.00,,
13,Villa Sunset Heights,"654 Mountain View Road, Koh Samui, Thailand",Elevated villa with spectacular sunset views and modern amenities. Great for families.,3,3,6,9500.00,active,"{""Sunset Views"",""Modern Pool"",WiFi,""Air Conditioning"",Kitchen,Parking}",,,owner-3,2025-07-24 15:47:58.424945,2025-07-24 15:47:58.424945,default-org,1005,THB,,15.00,,50.00,,
15,Villa Ocean View,"456 Hillside Drive, Koh Samui, Thailand",Cozy 2-bedroom villa with stunning ocean views. Perfect for couples and small families.,2,2,4,6500.00,active,"{""Ocean View"",WiFi,""Air Conditioning"",Kitchen,Parking}",,,demo-owner,2025-07-24 15:53:42.43407,2025-07-24 15:53:42.43407,default-org,DEMO-VILLA-002,THB,,15.00,,50.00,,
19,FRONTEND TEST,Test Address,"",2,1,,,active,{},{},,demo-admin,2025-08-01 16:16:33.163548,2025-08-01 16:16:33.163548,default-org,,THB,,15.00,,50.00,,
22,FINAL UI TEST - Should Work Now,Testing final frontend fix,Final test after cache fix,2,1,,,active,{},{},,demo-admin,2025-08-01 16:20:57.260113,2025-08-01 16:20:57.260113,default-org,,THB,,15.00,,50.00,,
21,REPLIT PLATFORM TEST,Testing if Replit platform works,Direct test to see if Replit saves data,2,1,,,active,{},{},,demo-admin,2025-08-01 16:19:43.539268,2025-08-01 16:19:43.539268,default-org,,THB,,15.00,,50.00,,
18,URGENT FIX TEST PROPERTY,Test Address 123,"",2,1,,,active,{},{},,demo-admin,2025-08-01 16:13:13.376093,2025-08-01 16:13:13.376093,default-org,,THB,,15.00,,50.00,,
9,Villa Samui Breeze,"123 Beach Road, Koh Samui, Thailand",Luxurious 3-bedroom villa with private pool and garden on Koh Samui. Perfect for couples and small families.,3,3,6,8000.00,active,"{""Private Pool"",Garden,WiFi,""Air Conditioning"",Kitchen,""Beach Access""}",,,owner-1,2025-07-24 15:47:58.135041,2025-07-24 15:47:58.135041,default-org,1001,THB,,15.00,,50.00,,
2,Villa Ocean View,"456 Hillside Drive, Koh Samui, Thailand",Cozy 2-bedroom villa with stunning ocean views. Perfect for couples and small families.,2,2,4,6500.00,active,,,,demo-owner,2025-07-02 15:20:50.497492,2025-07-02 15:20:50.497492,default-org,,THB,,20.00,chen-pm,60.00,referral-agent-2,retail-agent-2
24,tes,8323,test,1,1,1,1200.00,active,{},{},,demo-admin,2025-08-01 18:39:50.729606,2025-08-01 18:39:50.729606,default-org,,THB,,15.00,,50.00,,
20,UI FIX TEST - Frontend Now Working,123 Fixed Property Address,Testing that frontend can now save properties,2,1,,,active,{},{},,demo-admin,2025-08-01 16:18:38.444117,2025-08-01 16:18:38.444117,default-org,,THB,,15.00,,50.00,,
23,USER CAN SEE THIS NOW - TEST,Final UI verification,Testing if user can now save properties successfully,3,2,,,active,{},{},,demo-admin,2025-08-01 16:29:42.40359,2025-08-01 16:29:42.40359,default-org,,THB,,15.00,,50.00,,
1,Villa Samui Breeze,"123 Beach Road, Koh Samui, Thailand",Luxurious 3-bedroom villa with private pool and garden on Koh Samui. Perfect for couples and small families.,3,3,6,8000.00,active,"{""Private Pool"",Garden,WiFi,""Air Conditioning"",Kitchen,""Beach Access""}",,,demo-owner,2025-07-02 15:20:50.497492,2025-07-02 15:20:50.497492,default-org,,THB,,15.00,adam-pm,50.00,referral-agent-1,retail-agent-1
16,Villa Aruna (Demo),"Bophut Hills, Koh Samui, Thailand",Stunning 3-bedroom villa with private pool and ocean views in exclusive Bophut Hills location. Perfect for families and groups seeking luxury accommodation in Koh Samui.,3,3,6,20000.00,active,"{""Private Pool"",""Ocean View"",""Air Conditioning"",WiFi,Kitchen,Parking,Garden}",,,demo-owner,2025-07-24 15:53:42.508657,2025-07-24 15:53:42.508657,default-org,DEMO-VILLA-003,THB,,15.00,,50.00,,
30,Hair Color,gohira,Add New Property,3,3,3,5000.00,active,{},{},,demo-admin,2025-10-03 06:37:34.773374,2025-10-03 06:37:34.773374,default-org,,THB,,15.00,,50.00,,
26,farid property,west gohira,Add New Property,2,2,3,5000.00,active,{},{},,demo-admin,2025-10-01 07:06:54.064416,2025-10-01 07:06:54.064416,default-org,,THB,,15.00,,50.00,,
27,reza property,gohira,Add New Property,2,3,4,50000.00,active,{},{},,demo-admin,2025-10-01 07:19:04.861109,2025-10-01 07:19:04.861109,default-org,,THB,,15.00,,50.00,,
31,farid test 2025,gohira,Add New Property,5,5,5,5000.00,active,{},{},,demo-admin,2025-10-03 06:53:05.942817,2025-10-03 06:53:05.942817,default-org,,THB,,15.00,,50.00,,
32,test property,it@vklbd.com,fjhgghfg,5,5,7,5000.00,active,{},{},,demo-admin,2025-10-07 12:06:26.953972,2025-10-07 12:06:26.953972,default-org,,THB,,15.00,,50.00,,
14,Villa Samui Breeze,"123 Beach Road, Koh Samui, Thailand",Luxurious 3-bedroom villa with private pool and garden on Koh Samui. Perfect for families seeking authentic Thai hospitality.,3,3,6,8000.00,active,"{""Private Pool"",Garden,WiFi,""Air Conditioning"",Kitchen,""Beach Access""}",,,demo-owner,2025-07-24 15:53:42.335567,2025-07-24 15:53:42.335567,default-org,DEMO-VILLA-001,THB,,15.00,,50.00,,
17,Villa Tropical Paradise,"789 Coconut Grove, Koh Samui, Thailand",Spacious 4-bedroom villa surrounded by tropical gardens with infinity pool. Ideal for larger families and groups.,4,4,8,12000.00,active,"{""Infinity Pool"",""Tropical Garden"",WiFi,""Air Conditioning"",""Full Kitchen"",""BBQ Area"",Parking}",,,demo-owner,2025-07-24 15:53:42.584037,2025-07-24 15:53:42.584037,default-org,DEMO-VILLA-004,THB,,15.00,,50.00,,
25,Villa SABAI,143/42 moo 4 maret,office,3,3,5,2000.00,active,{},{},,demo-admin,2025-09-07 15:08:36.094464,2025-09-07 15:08:36.094464,default-org,,THB,,15.00,adam-pm,50.00,,
